Row Labels,Sum of price
Mofri,154.63
MOHCO,487.58
Mokani,35.99
MOKOBARA,747
MOLUTAN,109.16
Momcozy,125
Momentum,177
Momstory,313.65
MONOZO,137.43
Montana West,572.23
MONTBLANC,5549
MONTON,86
Moodear,724.84
Moolida,68
Moonmen,109
Moran,63.47
MoreFarther,284.56
Morelian,98.49
MORUCHA,194.25
MosaiRudo,68
MosFlor,135.18
MOSISO,783.25
Motevia,80
Motherhood MATERNITY,88
mothgel,715.99
MOTIM,79.2
Mottee&Zconia,351.86
Moulet,114.26
Mountain Voyage Co,157.98
Mountain Warehouse,98.93
MOUNTAINTOP,199
MOWOM,75.27
Mr.Van,69.18
M-Tac,219.2
Mud Pie,60
Mudder,49
MUENShop,144.39
MUERDOU,53.57
Mufanton,177.77
Mujahid,34.16
Mullike,130.64
MultiSac,328.91
Mumoo Bear,43.59
MURADIN,260
murtoo,217.04
Muscle Killer,115.73
MVMT,396.9
myfriday,79.99
mygreen,329.9
Myiaur,152.03
MyTime,36.42
N\A,36.8
N\P,778.98
NALACAL,4054.32
nalaina,78.97
NALANDA,52.23
name it,228.99
NAPA HIDE,390.21
Naruto,149.2
Narwey,
Native Comfort,139
Native Union,89
NatSumeBasics,47.57
Natural Feelings,407.41
Naturalizer,2303.78
Nautica,4004.02
Naviforce,715.4
NAVYSPORT,164.74
NAWOKEENY,210.54
Nayak,141.94
Nayubo,82.97
NC,295.26
NCDUANSAN,31
Necomi,69.99
NELEUS,433.54
Nelle Harper,1557.72
NEOOEN,34.85
neotimely,39.88
NERUB,46.15
NESLIN,95.38
Nevenka,517.5
New Balance,17298.19
New Era,143.36
NEWHEY,258.91
NEXSOUL,57.5
NIBOSI,843
Nickelodeon,88.5
Niction,219.37
Nike,41273.61
Nimiah,90.35
Nina,
NINE WEST,6714.19
Nintendo,259.38
NipEaze,58.9
NISHEL,205.82
NIUCUNZH,152.8
NIUEIMEE ZHOU,95
Nivia,593.3
Nixiamy,93.24
Niziruoup,225.12
nkjegol,63.99
No Nonsense,19.78
Nodykka,24.99
Noideeer,53.99
Nomatic,179.62
Nootzen,79.99
nordicdots,202.35
NORTH EDGE,
Notabag,56
Novarena,64.09
Novum Crafts,44.2
NUBILY,610.22
Nunn Bush,1186.34
NUSTTAL,92
NWSOJ,84
NY Threads,191.48
Nydotd,17
Nyganmelloz,48.03
أخرى,36.98
Oak Leathers,187.29
Oakley,7826.99
Oaldilee,357.67
Oaridey,116.93
Oasisgalore,476.38
OASISGUEST,51.64
OBLVLO,1088
OCHEAL,79.78
OCHI,39
ODCKOI,813.91
Odinstone,149.91
Ofrdncy,39.99
Ogetok,28.99
OGIO,1038
Ohoo,127.16
OLARCU,99.67
OLEVS,1677.17
Olivia Burton,1315.46
On,1857.26
ONLY,473.87
Only & Sons,116.05
OOFOS,219.93
Oossuiezl,58.09
Opomelo,49.9
ORACZ,39
Oranginer,160
Orient,19128.8
Original Kimono,139
ORiTi,405.93
Ormein,50
oscaurt,26.59
OSHIMA,183.69
Osprey,5451.83
Other,828.53
otherh,40.52
Outdoor Dialysis,233.11
OutdoorEssentials,95.2
Outray,58.79
Outrip,53.36
OUTVENTURE,318.48
OVERS,158
Owoniule,27
OW-Travel,64.24
OXEXE,46.26
oxiuly,444.36
OXOX,42.91
PACKISM,66
pacsafe,703.72
PAEDU,63.67
Paesteffe,32.8
PAGANI DESIGN(パガ－ニデザイン),359
PAGRNE DESIGN,2177.4
PAKMEZ,65.99
PALADA,
palglg,54.6
Pander,53
PANDORA,6480.87
Parajohn,1960.64
Paratoland,135.95
PARDUS,18
Parlberd,155.98
Parlovable,112.19
patu,70
PAURO,58.13
PAVOI,206.1
Paw Patrol,420.89
PAZ WEAN,35.84
Peak,19.37
Peak Design,1044
PEAKY KIDS,29.99
Pefiam,178.15
Pelican,312.92
People Footwear,203.31
Peppa Pig,130.21
Per4mer,31.49
Perry Ellis,507.69
PESOENTH,95.88
Peugeot,132.66
PEVSCO,40
PGA TOUR,788.29
PGQIQGNM,52.99
PGYTECH,162
Phaoullzon,120
PHCOMRICH,30.13
Philip Jones,57.38
Philipp Plein,2174.24
Physix Gear Sport,41.95
PICCASIO,35.99
PikaLF,79.88
Pineapple&Star Hat,243.47
PIRASO,44.98
PJ JEWELLERY,88.18
PJ PAUL JONES,374
PlasMaller,59
Platinum Hanger,21.7
Playtex,63.82
POCKT,103.73
Pocmimut,147.73
POFULL,69.02
POGTMM,70.05
Pokémon,221.29
POLARE ORIGINAL,946.78
Polaroid,1014.56
Police,4466.99
POLO RALPH LAUREN,1393.22
Pomelo Best,224.3
POPKOK,57.2
Poppyae,58
Popvibe,20
POSHDIVAH,133.46
POSHIO,40
Pregeckit,49.37
PRINCESS CUTENESS STORE,19.89
Print Souq,77
PRLINJSK,75
ProCase,324.14
PROESS,365.04
PROFOOT,46.1
Propper,289.04
PROSTEEL,655.88
PUCA,39.5
Pugtay,166.78
PUJANE,363.91
PUKCLAR,129.93
PUMA,23890.56
Puma Golf,156.12
PURAJA,94.02
PURE CHAMP,200.98
PURFANREE,38.5
QCQ,311.93
Qfeng,41.63
QGJNSGC,76.42
Qiccijoo,257.9
Qida,637.6
QIELIDL,29.76
Qitian,390.63
QT&QY,219.98
Queerier,167.18
Quiksilver,345.64
Qunson,48
QUSIIOSLK,31.02
QZSH,43.47
Rachael Ray,107.9
Radmire,23
RALME,190
Randx,31.23
Ranger,93.7
RANKEEF,22
RAPDOM,169
RAPID DOMINANCE,124.57
RASAON,39.95
Rastaclat,46.75
Rawlings,248.92
Ray-Ban,4145.35
RayWallet,227.41
Razer,259
RBYEKP,289.98
Rdruko,254.44
RDX,206.98
RE-­FLECTION Created by Nature,474
Real Essentials,1154.79
REBANDACE,128
REBUY,108.34
Red Kap,62
Reebok,4956.27
REEF,2123.94
Regular Show,94.93
Rehoboth,116.85
Rejolly,209.51
Relaxsan,107.06
Relting,61.55
REMEDYWALA,103.94
reroucky,20
REVEMCN,186.6
Rhomba,41
Ricardo Beverly Hills,708
Ricjurzzty,39
rickyh style,248.74
RIDAZ,77.4
Riddhika Ventures,150.92
riemot,113.81
RIGOHILL,59.5
RIOSO,88.8
Ripord,125.58
RISEWRD,159.02
Ritach,72
Ritche,86.17
RJCMJDEU,63.7
Rldym,55.99
Roadbox,369.93
ROCF ROSSINI,59.99
ROCKBROS,121.34
Rockland,2000.77
Rockport,4544.77
Roffatide,395
Roheafer,102.51
ROJZR,79.99
RollsTimi,423.95
ROMANTICWORK,190.39
Rossi Milano,39.99
ROVATTI,125
ROWIN&CO,215.88
Roxy,425.92
ROYAL KIT,185
RS,224.72
RSO Outfits,215
RUBAB MEN,38.4
RUFONE,15.17
RUMANLE,68
RUNBOX,293.6
Runcati,91.35
Rungion,92
Runhit,297
RUNSIBA,45.89
Russell Athletic,1065.48
Rustark,42.99
RUSTIC TOWN,469
Rxwstt,19.99
Saber Apparel,267.73
Sabona,193.82
Sadnyy,35.5
Safety Jogger,240
SAFRISIOR,113.56
SAGA GIOIELLI,152.36
SaiDian,211.04
Saintda,35.9
SAITECH IT,44.74
Sakinre,39
Sally's Organics,69
SALOMON,1432.3
SALTY,184
Salutto,91.04
Sam Edelman,728.14
SAMIT,119.99
Samsonite,26484.86
SAMSUNG,1299
Sanabul,530.69
SANDEIN,101.85
Sanraflic,121
Sanrio,180
SANTHOME,104.97
SANTINY,42
SANZEZ,73.09
SAPHIR,74.95
Saphir - Made in France,102
SaphiRose,212.89
SAPPHERO,190.99
SARAOONT,29.99
SATINIOR,104
Saucony,1467.8
Sausiry,16.18
SAVITA,51.83
Savlano,524.14
Scholl,293.28
Scruffs,196.42
SDBING,58
SEAFEW,135.8
Seagull flight of fashion,59.45
SEAUR,168.98
Sebasty,12
Secdtie,48.08
Secrid,2306.22
Seiko,46686.46
SEIKO SELECTION,1099
sejin jewelry,36.46
Sekonda,197.65
SellerFun,169
Semdu,135
Semillas Fitó,8.4
SEMORID,71.85
Senator,1832.1
Senbos,58.8
SENHAI,45.6
Seocsing,0.99
SERASAR,914.91
SERMAN BRANDS,333.16
Sesame Street,140.14
Seven,96.21
SEWOR,222.92
Seyaa,19.9
seyfocnia,1194.53
SF SPORTS,55.99
SFN,77.61
SFXULIX,20.9
SG,131.21
SGF11,130.99
SGMWVB,59.3
Shacke,89.5
Shaka Wear,56.83
SHALIMAR,42
SHAPERX,49.79
Shappy,15.4
SHARBAT WORLD,89
SHEEN KELLY,57.78
SHEEP RUN,154.14
SHEKINI,297.92
Sherr,92
shevalues,119.62
SHIMA,484.38
SHINDE EXPORTS,79.2
ShineGlitz,24
Shinenut,61.9
Shining Diva Fashion,910.43
SHINKODA,16.85
SHIONF,20
SHOEGR,112.64
Shonyin,28.95
ShopMantra,48
Showay,17
SHOWKOO,499.99
SHSCBSBRK,79.99
SHUOJIA,35.8
SHYLERO,97.88
SIENDIU,39.22
SIGFYER,72.57
Sight Focus,132.98
Signare,135.73
Silver deer,148.5
Silver Jeans Co.,305.6
Silver Palace,199.16
Simaru,166.13
Simple Joys,517.86
Simple Modern,608.39
SINCSEFK,83.6
SINOPHANT,180.44
SINOSKY,119.45
SIPURIS,60.18
SISWIM,65.08
SIXDAYSOX,22.5
SJeware,24.99
Skade,583
Skagen,1855.25
SKANDO BAGS,99
Skechers,76175.51
SKEIDO,223.77
SKiDE,77
Skinners,338
Skip Hop,107.3
SKMEI,381.39
SKY VIEW,774.59
SKY WING,241.4
Skybags,63
SKYISOK,14.99
Skyoung,342.73
SKY-TOUCH,295.61
SLGOL,31.9
Slick Collar,84.9
SLIM MINT,459.28
slimpuro,229
SLIMTA,289.98
SLOONG,153.4
SMALLLOVE,58
Smallshow,151
SMART GULLIVERES,14.99
Smarter LifeStyle,310.44
Smarties AE,39.9
Smartish,80.43
Smartwool,306.69
SnowElve,186.86
SOBEE,71.98
SOFFE,61.48
SOIDRAM,47.01
SOJOS,383.15
SOLCYSX,46.49
SOLDOUT,137.95
SOLM8,179.1
SOLO,450
Solo New York,553.13
SONGKISSZQ,29.58
Sonryse,385.5
SONTHIN,22
SOOWOOT,72.68
Soperwillton,117.15
SOPTEC,38
Sorax,105.25
Sosimcoty,99.98
Souke Sports,64.99
Soul8 Studio,90.89
sourcing map,174.23
Southern Fin Apparel,150.29
Southpole,474.1
SOWUGI,13.99
SOX TOWN,300.72
Soxbang,35.9
Soyizom,49
SPAHER,234.98
SPDTECH,34.64
Speedo,241.99
Sperry,573.79
SPIEZ,112
Spigen,138.99
sponeed,223.29
SPONGEBOB SQUAREPANTS,352.19
SPVISE,233.27
sqlp,396.34
SS COLOR FISH,70.29
SSFRI,19.25
Stacy Adams,1956.22
Stance,127.14
Stanchev,493.98
Stansport,291.29
Star Wars,232.52
STARDW,27.96
STARGOLD,160
STAY FINE,217.23
STAYOUNG,110.39
Stazh,64.98
STEEL NATION JEWELRY,847.9
Steelmeup,66.52
Stephen Joseph,426.1
Steve Madden,4381.01
stino,57
Stokke,899.09
Stone and Clark,119.99
Storite,492.69
Stranger Things,25.66
Strapseeker,343.65
Stride Rite 360,215.11
STROMBERGBRAND UMBRELLAS,15.85
styleville.in,4401.8
Styli,132.25
Styzere,68.99
SUDEAUO,35.7
Sukeshcraft,195
Sukkhi,51.76
Sumind,18
Summienlink,79.99
Sumolux,99.1
SUN EIGHT,128
Sun Ora,70.19
Sundwudu,77.12
SUNESA,41.94
SUNGAIT,174.98
SUNGOOYUE,149
Sunveno,84.76
Sunzel,75.04
Superbak,128.07
Suplight,110.75
Surenow,211.96
SUSVIJ,52.8
Swallowmall,132
SwanScout,146.44
Swarovski,6774.61
Swascoger,18.99
Swatch,10544.21
Sweat Shaper,67.98
Sweatshield Undershirts,131
Sweet seven,124.08
Swift,72
SwissGear,3881.27
SWIUKPHE,475.13
SYKT,118.99
SYNORTTH,45
SYOSI,1332.65
S-ZONE,1741
SZYYQ,79.98
T Tersely,272.41
T2F,543
TaboSi,23.52
TACH,959.2
TACTICAL FROG,50.83
TACTO,331.44
TACVASEN,289.94
tag8,149
TAGAS,124
TAILONG,171
TAIZRONG,45
Talent.llc,39.99
Talonport,128.6
Tamaris,164.4
TAME,28
TANGEM,189
Tango,24.29
Tangser,36
Tanming,75.71
TAO,100.21
TAPIT,35.99
Targus,225.42
TARION,798
Tarsus,51.47
TASBERN,116.1
Tasiso,58.44
Tazweeq,115.78
TCCO ENTERPRISE,25
TcIFE,608.01
TDNE,37
TECHPLUS,11.15
Ted Baker,7148.57
TED BAKER LONDON,260
Tekkerz,206
Telena,471.75
TELO,89
Terraillon,42
TERRIFI,2865.29
Teva,1448.04
Texan Bull,57.33
Thajaling,
The Children's Place,261.09
The Frenchie Co.,1059.98
The Good Store,65
THE GYM PEOPLE,402.34
the north face,4026.04
The Ridge,717.39
The Sak,269.13
The Tanned Cow,288
The Tie Hub,49.99
THE WHITE SHOP,182.57
Therabody,2032.97
THMINS,33.99
THOMPSON TEE,751.6
Three Keys Jewelry,416.95
Threningloe,43
Thule,3936.76
ThunderFit,258.02
TIBES,225
TICONN,60.91
TI-EDC,77.01
TIGRADE,80
TIJN,55.26
Timberland,6814.9
Timberland PRO,3786.46
TIMEWEAR,51
Timex,13733.65
Timiot,96.87
TINGRISE,145
Tini,15.5
Tiny Chou,29.09
Tissot,29929.48
Titan,4680.1
tizmuo,131.01
Tjackson,110.99
TKTTBD,19.99
TNGN,75
Tokokimo,289.97
ToLFE,59.99
TOMI,65.17
Tommy Hilfiger,62595.52
Tommy Jeans,5054.98
TOMS,2656.39
tomtoc,407
TOMVAES,135.52
Top Choice,43
TOPDesign,210.19
TOPEAST,69.83
Topfinder,66.29
TopMost,90
Topo Athletic,643.5
TOPTIE,49.99
TORNADO KERATINER PREMIUM IRON,17.99
Tory Burch,1801.88
totes,71
Touchstone,293.66
Tough Headwear,90
Tough Outdoors,81.75
Toughergun,63.09
Toupons,79.77
TOYESS,
Tphon,39.9
TRANOMOS,75.86
Trary,186.59
TRAVANDO,741.87
Travel Blue,67.53
travel inspira,25.1
Travel Select,995.18
Travelambo,252.92
Traveler's Choice,2515.3
Travelers Club,944.1
Travelon,2930.39
Travelpro,
TRAWOC,142
Trayvax,260.52
Treasure Bay,636.2
TrekKit,432.95
Trendsmax,143.55
Trendyline,30
Trendyol,436.79
TRETORN,141.91
Trezor,888.15
TRG the One,60
Tristar,255
Trixie,357.92
Tronjori,105
TROONZ,97.6
TROVE,429.92
TRUCARE,443.81
Trucare FZC,52.17
TRUE RELIGION,287.36
TRUMIUM,308.21
Trunki,538.47
TRUSADOR,875.92
TRUSUPER,212.46
TRYLO,47
TSLA,59.98
TSOTMO,77.68
TStrap,75.33
TTXSHYH,230
TUCUXY,437.48
TUMAHE,216.99
TUMI,21848.19
TUXON,70.55
Txameru,22.34
TXJ Sports,67.36
TYR,1025.63
Tzowla,516.95
U.S POLO ASSN.,1197.53
U.S. POLO ASSN,131.95
U.S. Polo Assn.,2552.52
U.S. Traveler,239
U7,544.81
Ubestyle,123.31
U-CHYTY,51.5
UEN,35.98
UGG,251.94
uinhuine,22.4
ULTECHNOVO,13.2
ULTRAIDEAS,128.49
UMBRO,167.76
UMCNVV,155.2
UN,67.98
Under Armour,27404.11
UNGENT THEM,37.4
UNIEOWFA,220.35
UNIFORM CRAFT,285
UniStep,151
Universal,109
Uniworld,26
Upbull,175.55
UPROMI,25.5
UpSpring,156.33
URATOT,29.9
Urban Classics,1011.63
Urban CoCo,314.55
URBAN FOREST,1170.56
URBAN HYDE,69
URBAN JEWELRY,510.91
URBAN MONKEY,
Urban Trendo,73.1
URbazaar,173.38
US Polo ASSN,159
USOR,134.99
USWEL,170.39
UTO,851.94
Utopia Wear,62.89
vabovin,22.99
VACSAX,70.04
VADOO,65.4
VAGREEZ,32.5
Valante,151.35
VALENCHI,311.65
Valentino,15827.36
Valentoria,373.94
Valleycomfy,96.83
VALOLIA,208
Van Heusen,1206.52
VANKEAN,287.99
VANNANBA,474.2
Vans,3709.82
VASCHY,946.77
VASSAGO,355.28
Vaultskin,1502.52
Vaupan,149.98
Veeta,59.47
Velaurs,155
VELEGO,46.98
VELESAY,66.25
Veltman,38
VENICEBEE,90.6
VENO,82.8
Venum,1897.36
Vera Bradley,3109.52
Veriliss,100
VERO MODA,177.83
veyiina nero,141.36
VFSHOW,207
Viaoragiosa,125.56
Vibram,464
Victorinox,6599.93
VIDSID,54.98
VIGIND,19.94
Vigorport,67.6
VIKCAUX,186.02
vilo,61.84
Vince Camuto,522.01
VINCENT CHASE EYEWEAR,
Vineen,
VIONLAN,22.83
VIP,99
VIPTOUR,67
VISCONTI,201.3
VISOUL,328.07
VITION,34.99
Vivobarefoot,928.52
Vlando,116.58
VN Jewelry,1260.39
Vnox,833.95
VOCOlinc,123.1
Vogue,1083.33
VogueCloset,31.99
Voikukka,148.24
Volcom,80.7
Volher,322
VOLKLAND,372
Vomgomfom,109.69
VON HEESEN,60.99
Vorspack,218.88
VS VITAL SALVEO,430.43
VSUDO,48.35
VUCATIN,143.98
VULKIT,2886.49
VULTOR,114
VWELL,101.94
VYYAF,39
W WIRE'S,1004.05
W&G traveler,70.47
W/W Lifetime,220.46
Wacoal,600.87
WAINIS,45.8
Waiyqju,70
wallets and accessories,51.18
WallFlower,55.37
Wally Bags,153
WANDF,97.97
Warner Bros,142.92
WarnerBros,85
WASTIME,107.46
watchdives,147.41
WatchGecko,
Waterfly,305.12
Watflow,72.99
WBOOO,53.59
WBQMUNY,161.63
Wchama,69.33
WearMe Pro,226.33
Weewooday,28
Weicam,123
WENGER,1794
Wentokye,102
wernies,127.72
Wesoke,131.98
WESTBRONCO,71
Western Stakes,134.87
WESTMIAJW,76.86
WeTest,16
Weweya,197.78
Weyeena,26.99
WFYOU,357.4
Whisper,24.99
Wikavanli,48
WILD THINGS ONLY !!!,96.02
Wildcraft,
WildHorn,2513.55
WILLIAMPOLO,272
Wilson,2629.52
Wind Passion,142.65
WINDCHASER,71.09
Wingslove,99.99
wirarpa,78
Wise Owl Accessories,91.83
WISELIFE,36.4
Wisfunlly,145.26
WiWU,150.58
Wobe,58
WOCCI,297.94
Womanista,2192.28
Wonder Care,208.83
WonderWink,88.46
WONHOX,156.13
WoodLand,308
WoodWatch,1161.92
woogwin,103
Woolnut,660.68
WORLD-BIO,71.09
WOXVM,36.79
WRAGCFM,117.64
Wrangler,2260.39
Wrangler Authentics,4019.49
Wsysnl,172.34
WUJIAONIAO,120.61
WULFUL,318.61
Wurkin Stiffs,210.08
WVHTHVW,449.98
WVLIROD,60.99
WYFJNX,334.02
wynameleri,475.5
WZIKAI,115.56
X spring,229.2
XBLDS,178.97
XDDesign,249
xdlhghe,98.34
Xero Shoes,200
Xianli Wang,74.43
XIANNVXI,100.18
XIAOCHEN,191.97
XIAOMI,333.87
Xiaoyu,109.13
Xieben,119.78
XIXVON,132
XJARVIS,19.58
Xomiboe,85.65
XOYOYZU,65.72
XPONNI,27.52
XQXA,45.99
XTRANSF,49
Xuniea,166.87
XYXX,47.9
Y·J Back home,22.5
YADOCA,179.45
Yalloover,
YANEK,196.97
YangQian,29
YANIBEST,79.82
YARDHOBI,139.98
Yaresul,112.01
Yash Gallery,79
YATEEN,44.58
Ybaier,87.98
YeeHoo,110
Yeieeo,25
YELLOW CHIMES,3575.22
Yemberzal,88
YEPREM,99.96
Yesteel,62.01
yeuG,19
YEXIPO,35
Yexiya,26.54
YFFS,20.11
YFGBCX,51.75
YFN,174.08
yfstyle,54.75
YGYCF,30
YHRSCE,32.77
YIANNA,469.29
Yikexin,194
YIMIKE,53.39
Yinkin,49.91
Yisfri,44
YJacuing,58.63
YLYYJ,120.65
Ymlike,43.3
YMXHHB,35.5
YND,
YNIQUE,303.43
Yober,103.73
Yocoyee,57.5
YOHO,156.51
YOI,388.04
YOIQI,138.77
Yooyao,48
Yopolaz,22.4
YOREPEK,198
YOUBAMI,68.98
YouBella,1558.05
Young & Forever,69.5
Youngsing,88
Ypnrd,161.69
YQHMT,49
YSENTO,220
Y-SHP MATRIX,133.1
YTBUBOR,41.38
YuanCheng,38.5
yuangaoshow,83.7
Yudesun,95.45
Yufree,57.78
Yumilok,56.99
YumLock,114
Yupoong,70.52
YURTKUMAS,27.99
YWhalep,231.93
YYIHER,76.81
YYOOUU,49.99
YZKKE,27.49
ZALVEX,157.1
ZAVERI PEARLS,2357.32
ZELLYA,64.7
ZENGVEE,143.98
ZENOTTIC,114.31
Zensah,123.15
Zenssia,60.72
ZENWILL,197.91
Zero Grid,233.88
ZEYO,97.99
ZFOFLIK,50
ZGR,132.97
zhaihan,32
ZHJFCY,38.7
Zilcremo,187.35
Zingther,68.5
Zipit,58.64
Zircobic,163.28
Zitahli,404.1
ZIWOCH,58
ZJIMLIN,565.2
ZKBKJSPZJB,98.34
ZKXXJ,65
ZLFSRQ,84.51
ZLYC,153.9
ZMY Home,169.52
ZOMAKE,235.47
Zoofen,20.69
Zoofly,814.86
ZOOSIXX,84.04
ZOUK,128
ZPLORT,20
ZRAY,54.79
Zubebe,45.07
Zuimei,30
ZumZup,39.39
ZUNON,73.82
ZUOCHEN,56.71
ZUOMIDIE,39.79
Zysta,82.06
Zzple,50
ZZZSTORE,77.76
(blank),44.03
Grand Total,2085941.45
